Type,Comment,Value
url,DCRat botnet C2 (confidence level: 100%),http://ratts.s07002yx.beget.tech/ee8b11fa.php
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),107.170.60.30|8808
url,Formbook botnet C2 (confidence level: 50%),http://www.inglesdatingcourse2.today/c07e/
domain,Formbook botnet C2 domain (confidence level: 50%),www.56788.loan
url,Formbook botnet C2 (confidence level: 50%),http://www.areer-hub.online/b101/
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f8386339.store
domain,magecart credit card skimming domain (confidence level: 100%),mktflowi.com
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f3cd490c.store
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ignoredshee.com
domain,DarkWatchman botnet C2 domain (confidence level: 100%),d3b79f13.site
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),103.186.117.39|9373
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),purpohsefulliving.click
domain,CyberGate botnet C2 domain (confidence level: 100%),lesbe004.no-ip.org
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),121.43.227.196|50050
domain,BumbleBee botnet C2 domain (confidence level: 100%),1r023rdyp4.click
domain,BumbleBee botnet C2 domain (confidence level: 100%),st9rdv9xai.click
domain,ClearFake payload delivery domain (confidence level: 100%),check.oink2.space
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),158.181.139.78|40500
url,Unknown malware botnet C2 (confidence level: 100%),https://pricetrain.icu/art.php
domain,ClearFake botnet C2 domain (confidence level: 50%),check.oeoou.site
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),cablecrossedi.shop
domain,Formbook botnet C2 domain (confidence level: 50%),www.eisurelux.online
domain,DarkComet botnet C2 domain (confidence level: 100%),hellsing1.no-ip.org
domain,DarkWatchman botnet C2 domain (confidence level: 100%),b170e747.store
domain,ClearFake payload delivery domain (confidence level: 100%),check.eject1.online
domain,Formbook botnet C2 domain (confidence level: 50%),www.artires-br-va999-11.today
url,Vidar botnet C2 (confidence level: 100%),http://83.217.208.130/xfiles/vida.mp3
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),bsoldvista.cyou
domain,Astaroth botnet C2 domain (confidence level: 100%),cleriz157.soniarocha.blog
url,Phorpiex botnet C2 (confidence level: 50%),http://iriototooeuwoihef.com/
url,Phorpiex botnet C2 (confidence level: 50%),http://riifndisojdojsihgau.info/
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.233.140.90|3333
domain,Formbook botnet C2 domain (confidence level: 50%),www.nlinedatingsolutions.today
domain,Astaroth botnet C2 domain (confidence level: 100%),planmol.claudiacampos.express
domain,NjRAT botnet C2 domain (confidence level: 75%),hextoriq99.ddns.net
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.247.98.57|623
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),qsorceryrealm.top
domain,Formbook botnet C2 domain (confidence level: 50%),www.uerchun.net
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),2.177.185.11|40500
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),80.191.218.209|40500
domain,Formbook botnet C2 domain (confidence level: 50%),www.hdpafagrwzwmz.shop
domain,SpyNote botnet C2 domain (confidence level: 100%),statistics-gates.gl.at.ply.gg
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),seereneescapes.click
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),80.210.204.98|40500
ip-dst|port,SystemBC botnet C2 server (confidence level: 75%),88.119.165.46|4000
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),45.153.68.37|40500
url,Lumma Stealer botnet C2 (confidence level: 100%),https://brigthtgrove.cyou/api
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f0577926.online
url,Lumma Stealer botnet C2 (confidence level: 100%),https://memokrableencounters.cyou/api
url,Formbook botnet C2 (confidence level: 50%),http://www.ft-check-srv93832.top/da16/
md5,Trigona payload (confidence level: 50%),4eb6c2e3ff883a49b7709f97bfdf7079
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),189.150.3.44|40500
domain,DCRat botnet C2 domain (confidence level: 100%),arsenik2.beget.tech
domain,Formbook botnet C2 domain (confidence level: 50%),www.ayday.today
url,Formbook botnet C2 (confidence level: 50%),http://www.23897.top/i62s/
url,XWorm payload delivery URL (confidence level: 100%),http://caymanluxurycars.com/81v2
url,Formbook botnet C2 (confidence level: 50%),http://www.orume-cozeda.sbs/i62s/
domain,CyberGate botnet C2 domain (confidence level: 100%),haciep.no-ip.biz
md5,Trigona payload (confidence level: 50%),eda59d39892f40dbd14925432f9ba108
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f3b98bd4.fun
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),oldjtale.today
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),modernakdventure.cyou
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),smilesqplays.help
domain,BumbleBee botnet C2 domain (confidence level: 100%),d3bvlw20er.click
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),89.144.188.237|40500
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),34.217.214.70|102
url,Formbook botnet C2 (confidence level: 50%),http://www.0d8250a16e1.xyz/c07e/
