Type,Comment,Value
domain,SpyNote botnet C2 domain (confidence level: 100%),river-times.gl.at.ply.gg
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.203.137|44094
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),101.42.13.105|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),150.241.69.126|7443
url,Unknown malware payload delivery URL (confidence level: 100%),https://fopelas.com/flare.msi
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),comimif.digital
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),86.82.149.162|4782
domain,MetaStealer botnet C2 domain (confidence level: 100%),cgkwgwmqcekgisgs.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),196.64.212.113|8000
domain,Lumma Stealer botnet C2 domain (confidence level: 75%),seiyrd.digital
sha256,ReverseRAT payload (confidence level: 95%),5a255dfa2a938f47ac098bd54e7cfd3e1e0ba5d494bf45898e2e32c6738f3be6
ip-dst|port,Hook botnet C2 server (confidence level: 100%),107.150.0.27|8082
sha256,Luca Stealer payload (confidence level: 95%),f1dc404e39306e8dd12d3a69903a9e465202c141fe6ff94c2d16c69e3dc9200b
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),45.207.173.236|5443
sha256,Remcos payload (confidence level: 95%),66bc91399d2182893517c0d7aecdcabb23925c6b01ee0bd73c957ac4a2b46760
ip-dst|port,Havoc botnet C2 server (confidence level: 75%),45.195.197.2|8085
url,Lumma Stealer botnet C2 (confidence level: 100%),https://9saxecocnak.live/manj
domain,MetaStealer botnet C2 domain (confidence level: 100%),ecegewiseemwakoe.xyz
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 100%),43.139.47.212|8080
domain,Formbook botnet C2 domain (confidence level: 50%),www.bjvs.town
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),47.128.188.97|443
domain,MetaStealer botnet C2 domain (confidence level: 100%),wsqoigeugeuymowu.xyz
domain,XWorm botnet C2 domain (confidence level: 100%),eg-huge.gl.at.ply.gg
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.108.133.29|443
url,Formbook botnet C2 (confidence level: 50%),http://www.1545.one/o09a/
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),40.192.27.89|1521
domain,SideWinder botnet C2 domain (confidence level: 50%),hisidewindersidewinder.pimec-paknavy.updates-installer.store
domain,Unknown malware payload delivery domain (confidence level: 100%),security.cloflguared.com
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),disstqr.run
ip-dst|port,FAKEUPDATES botnet C2 server (confidence level: 100%),194.213.18.231|443
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.207.121|6672
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.56|8000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),148.135.78.150|3333
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),106.38.201.218|443
domain,MetaStealer botnet C2 domain (confidence level: 100%),yyueioiuosmwgouo.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),160.179.154.140|9443
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),196.251.66.110|5007
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),criminnbkb.run
domain,MetaStealer botnet C2 domain (confidence level: 100%),aawqwuqsuauiiaai.xyz
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),3dmaine.com
url,Unknown malware payload delivery URL (confidence level: 50%),http://91.212.166.204/7564243512.txt
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),mikrusuft.com
domain,DCRat botnet C2 domain (confidence level: 50%),published-refined.gl.at.ply.gg
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 100%),137.175.27.170|8080
url,Glupteba botnet C2 (confidence level: 50%),http://venoxcontrol.com/
domain,Remcos botnet C2 domain (confidence level: 50%),mygoldenjorneyformeetteslagirlshebeautiy.duckdns.org
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),45.148.244.81|7878
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),gaauo.live
domain,MetaStealer botnet C2 domain (confidence level: 100%),ocagwyecmemgqsww.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://icitellcagt.top/gjtu
domain,Formbook botnet C2 domain (confidence level: 50%),www.ymmetrysocial.net
sha256,Interlock RAT payload (confidence level: 75%),efea43500a35eb76433e596eeeb92f3e6bae37ca07611cd03cc3b56b18721627
ip-dst|port,Vidar botnet C2 server (confidence level: 100%),88.198.239.242|443
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),124.220.63.47|4782
ip-dst|port,Ave Maria botnet C2 server (confidence level: 100%),196.251.118.106|4422
domain,MetaStealer botnet C2 domain (confidence level: 100%),ougcucuueuqmyumu.xyz
ip-dst|port,AdaptixC2 botnet C2 server (confidence level: 100%),124.70.144.47|4444
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),192.142.0.51|8080
url,Formbook botnet C2 (confidence level: 50%),http://www.ave.world/hi07/
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),196.64.212.113|631
domain,MetaStealer botnet C2 domain (confidence level: 100%),easmmumeicwcwqcu.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),guyusqoimgswceiq.xyz
url,Formbook botnet C2 (confidence level: 50%),http://www.arelreacing.net/d26m/
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.207.121|8081
url,Lumma Stealer botnet C2 (confidence level: 100%),https://xijackthyfuc.run/xpas
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.100.157.105|81
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),207.167.64.24|5058
url,FAKEUPDATES botnet C2 (confidence level: 100%),https://donation.benjaminssoldiers.com/profilelayout
url,Formbook botnet C2 (confidence level: 50%),http://www.j25may1d2.top/d26m/
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),dancioluffaro.com
domain,Formbook botnet C2 domain (confidence level: 50%),www.hecreativo.online
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.207.121|39754
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),144.91.92.251|8808
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.243|8080
sha256,Interlock RAT payload (confidence level: 75%),e40e82b77019edca06c7760b6133c6cc481d9a22585dd80bce393f0bfbe47a99
domain,MetaStealer botnet C2 domain (confidence level: 100%),wugeakyeqogkaoeu.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),ageqoyscmwssieea.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),147.185.221.29|16901
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),154.85.54.80|8989
url,Lumma Stealer botnet C2 (confidence level: 100%),https://yovercovtcg.top/juhd
domain,DCRat botnet C2 domain (confidence level: 50%),dcupdate.duckdns.org
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.56|22568
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),154.62.226.110|2525
md5,Luca Stealer payload (confidence level: 95%),a915620a8eda6dd9ad1321dd1266197d
domain,MetaStealer botnet C2 domain (confidence level: 100%),wsqeaseoikccygse.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),microsoft-updata.com
url,Unknown Stealer botnet C2 (confidence level: 100%),https://domainservicecontrol.com/upload.php
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),52.178.170.222|8080
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),35.87.10.168|80
url,Formbook botnet C2 (confidence level: 50%),http://www.mergingvaccines.net/i26e/
domain,Nanocore RAT botnet C2 domain (confidence level: 100%),jarvism98076.ddns.net
url,Formbook botnet C2 (confidence level: 50%),http://www.bramsdeluxedetailing.services/o09a/
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.203.137|46551
domain,MetaStealer botnet C2 domain (confidence level: 100%),iqcceiuqogceomee.xyz
domain,Kimsuky botnet C2 domain (confidence level: 50%),daumflt.onthewifi.com
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),104.168.5.47|2404
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),144.126.135.1|443
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.243|2405
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),52.15.69.140|9600
url,Formbook botnet C2 (confidence level: 50%),http://www.arterellie.shop/hi07/
ip-dst|port,BianLian botnet C2 server (confidence level: 75%),107.161.154.18|8080
sha1,AsyncRAT payload (confidence level: 95%),d78e7fe85361505b76551b64e234295c4b25d09d
url,Formbook botnet C2 (confidence level: 50%),http://www.pl-oferta2759576.cfd/tu90/
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),177.153.62.28|3333
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),197.87.4.102|443
domain,MetaStealer botnet C2 domain (confidence level: 100%),sqkqcwmueymeauui.xyz
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),callhawj.top
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),118.107.32.151|5200
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),advancgtos.shop
md5,DCRat payload (confidence level: 95%),217cc4758e6c23f7f926d8c5cddb33ca
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),2.58.56.122|443
domain,Unknown Webinject credit card skimming domain (confidence level: 100%),schoolmeriks.top
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.246.12.142|2403
url,Formbook botnet C2 (confidence level: 50%),http://www.risttechfled.cloud/o09a/
url,Havoc payload delivery URL (confidence level: 50%),https://barrysploitbucket.s3.us-west-2.amazonaws.com/abc.txt
url,Formbook botnet C2 (confidence level: 50%),http://www.ey5hl.top/i26e/
sha256,DCRat payload (confidence level: 95%),0f7fcd6cbdf44735a506f8442fe0124f6620ee8b01b71db619e66432efff4e1a
md5,Mars Stealer payload (confidence level: 95%),0e1f97dcb868a8ad86897b5402f5c0e5
domain,MetaStealer botnet C2 domain (confidence level: 100%),asumsskoiymycuus.xyz
