Type,Comment,Value
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),cryptixex.run
domain,ClearFake payload delivery domain (confidence level: 100%),check.nawym.icu
domain,ClearFake payload delivery domain (confidence level: 100%),check.hequf.icu
domain,ClearFake payload delivery domain (confidence level: 100%),check.pipyq.icu
domain,ClearFake payload delivery domain (confidence level: 100%),check.tyzof.icu
domain,ClearFake payload delivery domain (confidence level: 100%),check.cofat.icu
url,Rhadamanthys payload delivery URL (confidence level: 100%),https://ypp-update.com
url,Rhadamanthys payload delivery URL (confidence level: 100%),https://ypp-studio.com
domain,Unknown malware payload delivery domain (confidence level: 100%),btcpayserver.io
domain,Unknown malware payload delivery domain (confidence level: 100%),payserver.pages.dev
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),198.98.51.68|1302
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),46.203.233.30|9931
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.137.38.111|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),113.45.11.103|8080
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),101.37.31.139|5376
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.37.189.77|9010
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),196.251.86.168|8090
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),106.54.238.71|8089
ip-dst|port,pupy botnet C2 server (confidence level: 100%),142.93.15.10|5000
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),195.114.193.239|48876
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),78.171.42.106|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.126.82.230|7443
ip-dst|port,Hook botnet C2 server (confidence level: 100%),176.65.138.82|8089
ip-dst|port,Hook botnet C2 server (confidence level: 100%),45.33.122.33|80
ip-dst|port,Hook botnet C2 server (confidence level: 100%),43.224.227.246|8082
ip-dst|port,Hook botnet C2 server (confidence level: 100%),43.224.227.246|8089
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),144.123.101.10|60001
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),74.248.137.135|4444
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),195.82.146.32|4444
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),20.83.181.241|443
ip-dst|port,Chaos botnet C2 server (confidence level: 100%),34.58.136.79|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),167.88.164.138|3333
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),94.154.34.47|80
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),195.82.147.21|19000
domain,ClearFake payload delivery domain (confidence level: 100%),check.femar.icu
url,ClearFake payload delivery URL (confidence level: 100%),https://check.femar.icu/gkcxv.google
domain,Unknown Stealer payload delivery domain (confidence level: 100%),consumer-policy.world
domain,Unknown Stealer payload delivery domain (confidence level: 100%),guesterror23125.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idguestres72346.shop
domain,Unknown Stealer payload delivery domain (confidence level: 100%),imhuman-0491921.world
domain,Unknown Stealer payload delivery domain (confidence level: 100%),complaintsidguest2.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idreservguest2622748.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),error-reserwisgusta.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),reservation-id.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),booking-human-verify9658843.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),guestid3329912.icu
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idguest44215.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),reserveratinid991.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),complaintreservaid4.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idguest99366623.sbs
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idreserverationguest72353456.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idguest44215.icu
domain,Unknown Stealer payload delivery domain (confidence level: 100%),guestcomplaint3.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),guestid73436.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),reserveratinguestid662233.icu
domain,Unknown Stealer payload delivery domain (confidence level: 100%),booking-captcha-54367.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),complaintguest2.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),compliteguest5215.top
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idreserverationguest72353456.sbs
domain,Unknown Stealer payload delivery domain (confidence level: 100%),idreserverationguest72353456.icu
domain,Unknown Stealer payload delivery domain (confidence level: 100%),1xbookidient-4981.com
domain,Unknown Stealer payload delivery domain (confidence level: 100%),allseasonsinn5235.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),attendesvstrms952.world
domain,Unknown Stealer payload delivery domain (confidence level: 100%),bedingfeldarms634.cfd
domain,Unknown Stealer payload delivery domain (confidence level: 100%),book-lang-adm-de.com
