Type,Comment,Value
domain,Unknown malware credit card skimming domain (confidence level: 100%),servicezqp.lol
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),189.1.226.116|443
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 100%),114.132.190.235|443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.115.156|5000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.116.62|8888
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),103.230.69.188|7443
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),5.181.2.21|443
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),52.167.137.175|443
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),35.180.203.168|18572
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.233.168.184|26160
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),134.209.207.184|23
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),160.218.107.14|80
ip-dst|port,AdaptixC2 botnet C2 server (confidence level: 100%),154.91.180.29|41433
ip-dst|port,Empire Downloader botnet C2 server (confidence level: 100%),108.61.252.113|4321
url,DCRat botnet C2 (confidence level: 100%),http://89.35.130.147:58819/983a7643.php
md5,Nitrogen Loader payload (confidence level: 50%),7482d1cece44511ee978f8d418040867
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),206.238.114.75|32211
ip-dst|port,FatalRat botnet C2 server (confidence level: 100%),45.204.192.216|8081
md5,Unknown malware payload (confidence level: 50%),08759d9ea2712d693891c870bbebbde3
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),36.133.99.108|4443
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 75%),103.176.197.34|80
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.116.62|222
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),5.181.2.21|1000
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),37.72.168.146|45677
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.246.42.27|1963
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),51.20.248.15|23642
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),40.176.253.172|45207
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.60.201.128|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),65.0.55.238|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.195.162.188|8443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),54.91.60.122|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),3.127.89.233|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),122.50.5.70|3333
ip-dst|port,Empire Downloader botnet C2 server (confidence level: 100%),89.110.81.103|80
url,DCRat botnet C2 (confidence level: 100%),http://a0747299.xsph.ru/_defaultwindows.php
url,Vidar botnet C2 (confidence level: 100%),https://b1.a.exifit.ir/
url,Vidar botnet C2 (confidence level: 100%),https://116.202.182.34/
domain,Vidar botnet C2 domain (confidence level: 100%),b1.a.exifit.ir
ip-dst|port,Vidar botnet C2 server (confidence level: 100%),116.202.182.34|443
domain,Unknown malware payload delivery domain (confidence level: 100%),legder-live-desktop.net
domain,Unknown malware payload delivery domain (confidence level: 100%),forbescheck.top
domain,XWorm botnet C2 domain (confidence level: 100%),nnnnssss-64548.portmap.io
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),196.251.69.238|2404
domain,AsyncRAT botnet C2 domain (confidence level: 100%),nuevboprogreso.duckdns.org
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),118.195.235.103|8808
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),45.153.22.11|2424
url,Lumma Stealer botnet C2 (confidence level: 100%),https://parcel-tracks.live/api
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),206.238.114.75|32212
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),150.95.26.55|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.239.69.149|443
